epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77872,0.51517,3.08085,0.91907,0.00396,1,0.52612,0.43912,0.44085,2.97669,0.80338,0.00016,0.00016,0.00016
2,8.05805,0.48247,1.13854,0.85462,0.9298,0.47368,0.58314,0.52094,0.40481,2.45816,0.781,0.000336634,0.000336634,0.000336634
3,9.97224,0.45476,0.90342,0.84894,1,0.33875,0.65689,0.5726,0.4709,2.59781,0.78162,0.000509704,0.000509704,0.000509704
4,11.806,0.47013,0.82614,0.87448,1,0.55004,0.70728,0.63625,0.45347,2.44167,0.7852,0.00067921,0.00067921,0.00067921
5,13.7841,0.47645,0.76058,0.87957,1,0.35465,0.85289,0.78725,0.44107,2.50484,0.78549,0.000845152,0.000845152,0.000845152
6,15.634,0.47673,0.73403,0.87873,1,0.22586,0.89832,0.81856,0.44741,2.54936,0.78078,0.00100753,0.00100753,0.00100753
7,17.5522,0.42804,0.71073,0.84432,0.89342,0.44253,0.91643,0.81225,0.41564,2.45166,0.77699,0.00116634,0.00116634,0.00116634
8,20.7042,0.43921,0.65705,0.85345,1,0.70827,0.9845,0.8495,0.45848,2.21513,0.78146,0.00132159,0.00132159,0.00132159
9,22.6593,0.47735,0.6721,0.85925,1,0.43676,0.89779,0.83282,0.46066,2.27044,0.82387,0.00147328,0.00147328,0.00147328
10,24.452,0.4621,0.6476,0.866,1,0.65571,0.94004,0.82868,0.48987,1.94444,0.79613,0.0016214,0.0016214,0.0016214
11,26.2266,0.45974,0.62502,0.86466,1,0.86817,0.9925,0.904,0.42305,1.46011,0.79153,0.00176596,0.00176596,0.00176596
12,28.1678,0.44094,0.5797,0.84874,1,0.91307,0.98818,0.87778,0.42519,1.30481,0.77857,0.0017822,0.0017822,0.0017822
13,29.9836,0.46161,0.6042,0.86629,0.93421,1,0.99,0.8779,0.55214,1.05417,0.88621,0.0017624,0.0017624,0.0017624
14,32.4114,0.43281,0.57299,0.84164,1,0.98475,0.995,0.94778,0.36176,0.67777,0.7416,0.0017426,0.0017426,0.0017426
15,34.8903,0.45865,0.60033,0.87613,0.9954,1,0.995,0.92441,0.41569,0.65561,0.75136,0.0017228,0.0017228,0.0017228
16,36.7915,0.40113,0.53166,0.84418,0.99691,1,0.995,0.94109,0.37597,0.48463,0.74865,0.001703,0.001703,0.001703
17,38.6923,0.43664,0.54037,0.8628,0.99504,1,0.995,0.94134,0.37325,0.53384,0.74113,0.0016832,0.0016832,0.0016832
18,40.5497,0.42787,0.55779,0.86539,0.99593,1,0.995,0.92176,0.41705,0.52337,0.75164,0.0016634,0.0016634,0.0016634
19,42.4343,0.42089,0.52816,0.86168,0.99687,1,0.995,0.9501,0.33215,0.47097,0.74097,0.0016436,0.0016436,0.0016436
20,44.4172,0.41154,0.50868,0.86212,0.99645,1,0.995,0.93997,0.36584,0.49273,0.73805,0.0016238,0.0016238,0.0016238
21,47.269,0.42584,0.49989,0.86885,0.98911,1,0.995,0.95521,0.33699,0.48964,0.74068,0.001604,0.001604,0.001604
22,49.1152,0.41278,0.4998,0.85969,0.99678,1,0.995,0.96951,0.3274,0.41158,0.74425,0.0015842,0.0015842,0.0015842
23,50.993,0.37024,0.47671,0.83905,0.99654,1,0.995,0.92779,0.37803,0.45451,0.74412,0.0015644,0.0015644,0.0015644
24,52.9084,0.38395,0.45804,0.85411,0.98996,1,0.995,0.93876,0.31271,0.47163,0.73204,0.0015446,0.0015446,0.0015446
25,54.7685,0.36565,0.44427,0.84527,0.98965,1,0.995,0.9271,0.35683,0.44974,0.74148,0.0015248,0.0015248,0.0015248
26,56.746,0.38303,0.45499,0.8545,0.9918,1,0.995,0.939,0.36,0.43806,0.73832,0.001505,0.001505,0.001505
27,59.8546,0.3597,0.4236,0.82561,0.99354,1,0.995,0.94162,0.33604,0.41803,0.74139,0.0014852,0.0014852,0.0014852
28,61.7235,0.36909,0.44288,0.85666,0.99401,1,0.995,0.96907,0.29525,0.42002,0.73749,0.0014654,0.0014654,0.0014654
29,63.5702,0.385,0.43051,0.84202,0.94412,1,0.9715,0.93557,0.29869,0.43193,0.73802,0.0014456,0.0014456,0.0014456
30,65.5081,0.39202,0.44873,0.85942,0.99298,1,0.995,0.95077,0.34308,0.45116,0.74638,0.0014258,0.0014258,0.0014258
31,67.3541,0.40548,0.43546,0.85941,0.99621,1,0.995,0.93637,0.33605,0.38953,0.74258,0.001406,0.001406,0.001406
32,69.2655,0.38499,0.42786,0.85852,0.99686,1,0.995,0.92414,0.35803,0.38492,0.7534,0.0013862,0.0013862,0.0013862
33,72.06,0.37897,0.41813,0.84999,0.99465,1,0.995,0.92633,0.33892,0.37767,0.74668,0.0013664,0.0013664,0.0013664
34,74.2046,0.37323,0.41054,0.8363,0.99374,1,0.995,0.95561,0.30067,0.35469,0.73616,0.0013466,0.0013466,0.0013466
35,75.9812,0.35599,0.38811,0.83482,0.99658,1,0.995,0.94634,0.32677,0.35881,0.73571,0.0013268,0.0013268,0.0013268
36,77.915,0.35379,0.40212,0.84565,0.997,1,0.995,0.95086,0.30096,0.3319,0.73011,0.001307,0.001307,0.001307
37,79.714,0.31639,0.36427,0.83031,0.997,1,0.995,0.942,0.3019,0.29119,0.72775,0.0012872,0.0012872,0.0012872
38,81.7241,0.33888,0.36347,0.8534,0.99701,1,0.995,0.94794,0.3009,0.31407,0.73015,0.0012674,0.0012674,0.0012674
39,84.0484,0.32541,0.35848,0.83281,0.99692,1,0.995,0.95951,0.28712,0.29148,0.72906,0.0012476,0.0012476,0.0012476
40,86.6547,0.33546,0.36239,0.82304,0.99711,1,0.995,0.96593,0.29437,0.27544,0.73416,0.0012278,0.0012278,0.0012278
41,88.5558,0.35603,0.38958,0.83272,0.99725,1,0.995,0.97582,0.2516,0.2586,0.72759,0.001208,0.001208,0.001208
42,90.4308,0.32607,0.36841,0.85394,0.99762,1,0.995,0.97715,0.25984,0.28221,0.72666,0.0011882,0.0011882,0.0011882
43,92.2803,0.34237,0.38567,0.8507,0.99746,1,0.995,0.97227,0.29716,0.29715,0.73096,0.0011684,0.0011684,0.0011684
44,94.048,0.32157,0.36905,0.83033,0.99663,1,0.995,0.96647,0.24695,0.26106,0.71978,0.0011486,0.0011486,0.0011486
45,96.2794,0.32963,0.35443,0.82622,0.99598,1,0.995,0.96647,0.27269,0.2861,0.7251,0.0011288,0.0011288,0.0011288
46,99.077,0.31762,0.33731,0.82809,0.99665,1,0.995,0.96686,0.26601,0.2832,0.72994,0.001109,0.001109,0.001109
47,100.972,0.33137,0.34821,0.8326,0.99685,1,0.995,0.96553,0.28121,0.28604,0.73293,0.0010892,0.0010892,0.0010892
48,102.787,0.33666,0.3485,0.84183,0.99671,1,0.995,0.98299,0.26524,0.26256,0.72827,0.0010694,0.0010694,0.0010694
49,104.669,0.34789,0.35981,0.83617,0.9952,1,0.995,0.98505,0.26138,0.26914,0.72377,0.0010496,0.0010496,0.0010496
50,106.595,0.35027,0.35338,0.84403,0.99364,1,0.995,0.97143,0.25596,0.25401,0.72199,0.0010298,0.0010298,0.0010298
51,108.576,0.31612,0.32735,0.84152,0.99478,1,0.995,0.98388,0.25613,0.25255,0.72396,0.00101,0.00101,0.00101
52,111.433,0.30841,0.31658,0.82663,0.99681,1,0.995,0.97587,0.27637,0.28637,0.72605,0.0009902,0.0009902,0.0009902
53,113.423,0.32024,0.32045,0.82683,0.9965,1,0.995,0.9839,0.24894,0.26041,0.72886,0.0009704,0.0009704,0.0009704
54,115.293,0.28671,0.30792,0.82341,0.99658,1,0.995,0.97803,0.25818,0.24322,0.72837,0.0009506,0.0009506,0.0009506
55,117.198,0.29744,0.31546,0.81916,0.9966,1,0.995,0.97419,0.25143,0.2465,0.72851,0.0009308,0.0009308,0.0009308
